IIP ID,Language,Region,Material,Text_Genre,City,Religion,Time
idum0029,Aramaic,Negev,clay,legal/economic,Other,unknown,-346.0
idum0025,Aramaic,Negev,clay,legal/economic,Other,unknown,-354.0
idum0032,Aramaic,Negev,clay,legal/economic,Other,unknown,-338.0
idum0030,Aramaic,Negev,clay,legal/economic,Other,unknown,-343.0
idum0033,Aramaic,Negev,clay,legal/economic,Other,unknown,-336.0
idum0034,Aramaic,Negev,clay,legal/economic,Other,unknown,-336.0
idum0036,Aramaic,Negev,clay,legal/economic,Other,unknown,-336.0
idum0035,Aramaic,Negev,clay,legal/economic,Other,unknown,-336.0
idum0037,Aramaic,Negev,clay,legal/economic,Other,unknown,-336.0
idum0042,Aramaic,Negev,clay,legal/economic,Other,unknown,-354.0
idum0059,Aramaic,Negev,clay,legal/economic,Other,jewish,-355.0
idum0057,Aramaic,Negev,clay,legal/economic,Other,jewish,-358.0
idum0058,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0066,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0067,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0062,Aramaic,Negev,clay,legal/economic,Other,jewish,-354.0
idum0065,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0063,Aramaic,Negev,clay,legal/economic,Other,jewish,-354.0
idum0061,Aramaic,Negev,clay,legal/economic,Other,jewish,-354.0
idum0068,Aramaic,Negev,clay,legal/economic,Other,jewish,-354.0
idum0060,Aramaic,Negev,clay,legal/economic,Other,jewish,-355.0
idum0078,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0075,Aramaic,Negev,clay,legal/economic,Other,jewish,-343.0
idum0069,Aramaic,Negev,clay,legal/economic,Other,jewish,-351.0
idum0076,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0086,Aramaic,Negev,clay,legal/economic,Other,jewish,-335.0
idum0079,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0098,Aramaic,Negev,clay,legal/economic,Other,jewish,-315.0
idum0100,Aramaic,Negev,clay,legal/economic,Other,jewish,-313.0
idum0101,Aramaic,Negev,clay,legal/economic,Other,jewish,-313.0
idum0105,Aramaic,Negev,clay,legal/economic,Other,other_religion,-361.0
idum0113,Aramaic,Negev,clay,legal/economic,Other,other_religion,-355.0
idum0108,Aramaic,Negev,clay,legal/economic,Other,other_religion,-358.0
idum0107,Aramaic,Negev,clay,legal/economic,Other,other_religion,-358.0
idum0110,Aramaic,Negev,clay,legal/economic,Other,other_religion,-357.0
idum0123,Aramaic,Negev,clay,legal/economic,Other,other_religion,-349.0
idum0120,Aramaic,Negev,clay,legal/economic,Other,other_religion,-351.0
idum0118,Aramaic,Negev,clay,legal/economic,Other,other_religion,-353.0
idum0122,Aramaic,Negev,clay,legal/economic,Other,other_religion,-349.0
idum0126,Aramaic,Negev,clay,legal/economic,Other,other_religion,-338.0
idum0128,Aramaic,Negev,clay,legal/economic,Other,other_religion,-336.0
idum0125,Aramaic,Negev,clay,legal/economic,Other,other_religion,-339.0
